id,name,carbohydrate,protein,fat,calories
1,꿩불고기,39.7,33.5,8.5,368.8
2,닭꼬치,13.3,11.6,8.6,176.7
3,더덕구이,31.1,3.1,5.2,184
4,도미구이,2.1,61.1,16.5,397
5,돼지갈비,8.1,19.5,14.4,240.3
6,병어구이,0.2,54.6,30.8,488
7,불고기,7.8,34.4,25.2,395.3
8,붕장어소금구이,11.6,26,16.2,296.5
9,소양념갈비구이,26.2,60.1,71.6,989.2
10,양념왕갈비,13.7,27.1,35.3,480.8
11,양념장어구이,8.8,30.8,30.6,433.4
12,임연수구이,3.5,53.8,29.4,494
13,짚불구이곰장어,2.3,42.7,16.2,326.2
14,햄버그스테이크,20.8,27,29.6,457.7
15,황태구이,26.9,47.8,15.4,437.6
16,훈제오리,12.1,43.1,64.1,797.1
17,게국지,31.7,44.9,12.1,415.3
18,곰치국,23.9,54.3,11.8,419.3
19,굴국밥,88.4,42.4,17.8,683
20,김치국,10.5,5.4,2.8,89
21,떡만둣국,110.7,20.1,11.3,624.9
22,만둣국,47.8,21.4,17.4,434.1
23,맑은감자국,34.6,8.3,5.5,221
24,매생이국,13.4,10,2.8,119
25,무된장국,14.7,6.1,2.4,104
26,미소된장국,2.8,2.8,1.8,38
27,바지락조개국,10.1,22,3.1,157
28,뼈다귀해장국,23.4,74.6,35.7,714
29,선지해장국,16.7,49.3,5.4,312
30,소고기무국,7.8,14.2,4,123
31,소고기미역국,7.7,18.1,5.3,151
32,순대국,17.3,43.5,33,540.3
33,시래기된장국,11,6.7,3.1,99
34,올갱이국,13,13.7,4.2,144.3
35,우거지해장국,13.5,11.9,5.9,154.4
36,우렁된장국,19.2,24.6,7.7,245
37,탕국,0.2,13.2,4.3,92.2
38,홍합미역국,11.6,19.7,4.7,167
39,황태해장국,5.7,24.5,6.8,181.7
40,고추잡채,26.2,11,12,256.8
41,난자완스,19.1,21.6,20.4,346.2
42,도토리묵말이,89.7,6.8,8.5,462.4
43,라조기,26.2,20.7,23.5,399
44,물회,55.3,34.4,18.9,529.4
45,생선물회,82.5,34.3,12.3,578
46,소고기샤브샤브,14.7,29.1,9.8,263.8
47,오징어순대,58.3,45.7,5.6,466.9
48,초당순두부,15.8,49.1,29.2,522.7
49,해파리냉채,13.4,6.2,1.4,91
50,고들빼기,10.9,1.6,0.6,55.5
51,열무얼갈이김치,2.6,1.1,0.3,17.7
52,미나리나물,2.2,1,1.8,29.5
53,취나물,3.3,1.4,6.2,74.1
54,콩나물,0.9,1.7,1.7,25.3
55,경단(깨),74.2,4.4,0.5,319.5
56,경단(콩),74,3.5,0.5,314.3
57,기피편,49,5.4,0.2,220
58,녹두시루떡,48.1,7.7,2.5,246.1
59,메밀전병,21.6,6.2,6.3,167.8
60,무지개떡,53,3.5,0.3,229
61,송편(깨),45,4.9,2.7,224.1
62,송편(콩),41.7,5.2,0.7,194.3
63,수수부꾸미,42.1,5.7,6.3,247.9
64,수수팥떡,43,6.7,0.6,204.2
65,시루떡,47.5,5.5,0.6,217.5
66,쑥떡,57.9,3.4,0.4,248.6
67,절편,43.9,3.6,0.3,192.9
68,찹쌀떡,65.6,3.3,0.2,276.9
69,간자장,134.2,22.3,22,824.5
70,굴짬뽕,115.7,32.9,9.6,680.7
71,기스면,89.8,37.8,10.7,606.9
72,김치라면,86.2,13.8,16.9,552
73,김치우동,99.1,15.5,4.6,500.2
74,냉김치말이국수,52,12.9,4.8,302.5
75,닭칼국수,94.7,42.2,12.8,663
76,둘깨칼국수,59.8,17.6,16.5,457.9
77,삼선우동,105.9,47.9,8.5,691.7
78,삼선자장면,126.5,33.6,18.1,803.9
79,삼선짬뽕,101.7,39.6,10.8,662.4
80,열무김치국수,69.6,15,10.2,431
81,열무냉면,97.5,20.8,5.8,525.5
82,오일소스스파게티,89.4,19.6,23.4,646.7
83,올갱이국수,111.6,11.2,8.3,566
84,우동(일식),74.2,13.4,7.9,421.5
85,우동(중식),85.4,29.5,21,648.5
86,울면,128.2,37.5,7.4,728.9
87,자장면,133.6,19.8,20.3,796.5
88,짬뽕라면,92,21.3,26.3,689
89,치즈라면,80,16.8,23,595
90,크림소스스파게티,73.8,21.8,50.6,837.6
